MonthYear,ActionGeo_ADM1Code,Total_Events,Goldstein_Neg_Mean,AvgTone_Neg_Mean,QuadClass4_Count,MIL_COP_Count,Pct_QuadClass4,Goldstein_Neg_Norm,AvgTone_Neg_Norm,Pct_QuadClass4_Norm,ISRB,Target_ISRB_NextMonth,Dept_BN08,Dept_BN09,Dept_BN10,Dept_BN11,Dept_BN12,Dept_BN13,Dept_BN14,Dept_BN15,Dept_BN16,Dept_BN18
202508,BN13,4.0,0.0,-5.300835510489151,0.0,0.0,0.0,0.0,0.530083551048915,0.0,0.13252088776222876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202509,BN13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202510,BN13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42389210019267815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202511,BN13,6.0,-10.0,-0.28901734104046,1.0,1.0,16.666666666666664,1.0,0.028901734104046,0.16666666666666663,0.42389210019267815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202512,BN13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202601,BN13,5.0,-2.65,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.09275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202602,BN13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33889321306231335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202603,BN13,6.0,-6.0,-2.48906185582587,1.0,2.0,16.666666666666664,0.6,0.248906185582587,0.16666666666666663,0.33889321306231335,0.090725806451613,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202504,BN14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202505,BN14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202506,BN14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202507,BN14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202508,BN14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202509,BN14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
